SOURCELONG:Noble Steed	SOURCESHORT:Nob	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
2	BONUS:HP|CURRENTMAX|-CON			ABILITY:Special Ability|AUTOMATIC|Steed ~ Threaten							
3	BONUS:HP|CURRENTMAX|-CON				BONUS:HP|CURRENTMAX|4						
4	BONUS:HP|CURRENTMAX|-CON		AUTO:FEAT|Toughness				BONUS:ABILITYPOOL|Steed Ability|1				
5	BONUS:HP|CURRENTMAX|-CON				BONUS:HP|CURRENTMAX|8		BONUS:ABILITYPOOL|Steed Feat ~ Battle|1				
6	BONUS:HP|CURRENTMAX|-CON			ABILITY:Special Ability|AUTOMATIC|Steed ~ Threaten 2							
7	BONUS:HP|CURRENTMAX|-CON				BONUS:HP|CURRENTMAX|8						
8	BONUS:HP|CURRENTMAX|-CON						BONUS:ABILITYPOOL|Steed Ability|1				
9	BONUS:HP|CURRENTMAX|-CON			ABILITY:Special Ability|AUTOMATIC|Steed ~ Threaten 3	BONUS:HP|CURRENTMAX|12		BONUS:ABILITYPOOL|Steed Feat ~ Battle|1				
10	BONUS:HP|CURRENTMAX|-CON		AUTO:FEAT|Toughness								
#											
CLASS:Palfrey		TYPE:Steed	ABB:Palf	MAXLEVEL:10	SOURCEPAGE:Nob	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL/2|TYPE=Base.REPLACE		
CLASS:Palfrey	PREABILITY:1,CATEGORY=Special Ability,Advanced Training	PRESTAT:1,DEX=16	PRESTAT:1,INT=13	PRERACE:1,RACESUBTYPE=Steed							
CLASS:Palfrey	STARTSKILLPTS:0										
1	BONUS:HP|CURRENTMAX|-CON		AUTO:FEAT|Trick Riding		BONUS:HP|CURRENTMAX|4		BONUS:ABILITYPOOL|Steed Feat ~ General|1	BONUS:ABILITYPOOL|Steed Ability|4			
2	BONUS:HP|CURRENTMAX|-CON										
3	BONUS:HP|CURRENTMAX|-CON			ABILITY:Special Ability|AUTOMATIC|Steed ~ Lounge	BONUS:HP|CURRENTMAX|4						
4	BONUS:HP|CURRENTMAX|-CON						BONUS:ABILITYPOOL|Steed Ability|1				
5	BONUS:HP|CURRENTMAX|-CON			ABILITY:Special Ability|AUTOMATIC|Steed ~ Swift Hooves	BONUS:HP|CURRENTMAX|8						
6	BONUS:HP|CURRENTMAX|-CON						BONUS:ABILITYPOOL|Steed Feat ~ General|1				
7	BONUS:HP|CURRENTMAX|-CON				BONUS:HP|CURRENTMAX|8						
8	BONUS:HP|CURRENTMAX|-CON			ABILITY:Special Ability|AUTOMATIC|Steed ~ Preternatural Awareness			BONUS:ABILITYPOOL|Steed Ability|1				
9	BONUS:HP|CURRENTMAX|-CON				BONUS:HP|CURRENTMAX|12						
10	BONUS:HP|CURRENTMAX|-CON						BONUS:ABILITYPOOL|Steed Feat ~ General|1				
