SOURCELONG:Libris Mortis	SOURCESHORT:LM	SOURCEWEB:http://www.gozzilioni.net															
																	
###Block:Familiar																	
# Class of the Master	Type	Spell Res.	Copy Masters BAB	Copy Masters Checks	HP formula based on Master	Use Masters skills?	Special ABility					Define	Combat bonus	Main Race Type			
FOLLOWER:SFFLevel=19	TYPE:StitchedFamiliar	SR:24										DEFINE:LOCK.INT|15		BONUS:COMBAT|AC|1|TYPE=NaturalArmor.REPLACE			
FOLLOWER:SFFLevel=20	TYPE:StitchedFamiliar	SR:25															
																	
###Block: Specific Familiars																	
# Class of the Master	Type			Required Race			Apply Kit					Special ABility		Add			
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Raven															
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Bat	KIT:1|Bat Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Cat	KIT:1|Cat Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Hawk	KIT:1|Hawk Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Lizard	KIT:1|Lizard Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Owl	KIT:1|Owl Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Rat	KIT:1|Rat Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Raven	KIT:1|Raven Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Snake (Viper/Tiny)	KIT:1|Snake Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Toad	KIT:1|Toad Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Weasel	KIT:1|Weasel Familiar	TEMPLATE:Stitched Flesh Familiar													
																	
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Shocker Lizard	KIT:1|Shocker Lizard Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Stirge	KIT:1|Stirge Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Formian (Worker)	KIT:1|Formian (Worker) Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Devil (Imp)	KIT:1|Devil (Imp) Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Pseudodragon	KIT:1|Pseudodragon Familiar	TEMPLATE:Stitched Flesh Familiar													
FOLLOWER:FMLevel=1	TYPE:StitchedFamiliar	PRERACE:1,Demon (Quasit)	KIT:1|Demon (Quasit) Familiar	TEMPLATE:Stitched Flesh Familiar													
#																	
